,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Mossamedes,2,AO,1585980421,78,-15.2,12.15,75.43,3.74
1,Berlevåg,100,NO,1585980424,89,70.86,29.09,27.34,12.37
2,Arraial do Cabo,61,BR,1585980427,70,-22.97,-42.03,76.05,24.56
3,East London,11,ZA,1585980429,68,-33.02,27.91,69.8,6.93
4,Gijang,0,KR,1585980185,15,35.24,129.21,69.8,8.05
5,Neiafu,99,TO,1585980433,83,-18.65,-173.98,78.66,12.03
6,Ballina,75,AU,1585980436,83,-28.87,153.57,80.6,6.93
7,Bredasdorp,11,ZA,1585980438,87,-34.53,20.04,55.4,2.3
8,Udachny,90,RU,1585980440,79,66.42,112.4,26.6,13.42
9,Shetpe,2,KZ,1585980448,51,44.17,52.12,46.74,4.14
10,Wajid,5,SO,1585980451,47,3.81,43.25,84.79,13.98
11,Kez,44,RU,1585980453,69,57.9,53.72,40.12,10.8
12,Saskylakh,100,RU,1585980455,94,71.92,114.08,11.8,19.8
13,Mataura,100,NZ,1585980457,80,-46.19,168.86,64,1.01
14,Punta Arenas,40,CL,1585980459,70,-53.15,-70.92,39,6.93
15,Saldanha,0,ZA,1585980463,87,-33.01,17.94,57.2,3.36
16,Lima,75,PE,1585980348,78,-12.04,-77.03,71.6,11.41
17,Hithadhoo,96,MV,1585980468,73,-0.6,73.08,84.34,9.98
18,Ushuaia,48,AR,1585980470,93,-54.8,-68.3,35.6,5.82
19,Kaitangata,100,NZ,1585980475,80,-46.28,169.85,57,1.99
20,Qaanaaq,96,GL,1585980477,74,77.48,-69.36,3.18,5.17
21,Takoradze,96,GH,1585980479,89,4.88,-1.76,79.79,6.78
22,Ribeira Grande,85,PT,1585980483,78,38.52,-28.7,60.31,32.88
23,Busselton,91,AU,1585980485,25,-33.65,115.33,73.99,3.13
24,Rikitea,1,PF,1585980488,79,-23.12,-134.97,77.29,16.4
25,Mar del Plata,0,AR,1585980490,93,-38,-57.56,59,6.93
26,Fuerte Olimpo,0,PY,1585980492,44,-21.04,-57.87,63.54,4.07
27,Puerto Ayora,27,EC,1585980494,90,-0.74,-90.35,79,5.99
28,Axum,1,ET,1585980496,22,14.12,38.72,72.43,11.7
29,Kapaa,75,US,1585980498,83,22.08,-159.32,75.2,8.05
30,Hobyo,2,SO,1585980368,60,5.35,48.53,86.52,16.06
31,Lithakia,75,GR,1585980503,82,37.72,20.83,55.4,12.75
32,Matadi,99,CD,1585980505,86,-5.82,13.45,78.8,1.1
33,Ishinomaki,20,JP,1585980507,82,38.42,141.3,55.4,11.41
34,Minas de Barroterán,78,MX,1585980512,66,27.63,-101.28,64.69,14.97
35,Tuktoyaktuk,40,CA,1585980514,76,69.45,-133.04,-4,5.82
36,Barrow,1,US,1585980516,78,71.29,-156.79,10.4,16.11
37,Gornopravdinsk,0,RU,1585980519,83,60.05,69.9,39.22,10.92
38,Adrar,0,MR,1585980521,19,20.5,-10.07,69.37,5.61
39,Severo-Kuril'sk,17,RU,1585980523,92,50.68,156.12,31.73,11.32
40,Tasiilaq,100,GL,1585980529,41,65.61,-37.64,19.4,27.51
41,Douentza,3,ML,1585980533,17,15,-2.95,75.54,4.81
42,Pitimbu,20,BR,1585980536,100,-7.47,-34.81,77,3.36
43,Lorengau,98,PG,1585980538,79,-2.02,147.27,82.76,13.06
44,Avarua,90,CK,1585980484,83,-21.21,-159.78,84.2,4.7
45,Lesnyye Polyany,0,RU,1585980542,48,55.97,37.87,43,11.18
46,Nikolskoye,75,RU,1585980545,74,59.7,30.79,37.99,13.42
47,Heraclea,14,TR,1585980548,31,37.51,34.05,48.42,4.97
48,Alta Floresta,55,BR,1585980550,80,-9.88,-56.09,74.82,1.7
49,Vila Franca do Campo,75,PT,1585980553,87,37.72,-25.43,60.8,31.09
50,Marabu,75,MY,1585980555,79,4.41,114.01,89.6,6.93
51,Airai,26,TL,1585980558,53,-8.93,125.41,72.84,3.91
52,Hilo,90,US,1585980504,69,19.73,-155.09,77,5.82
53,Katsuura,40,JP,1585980563,49,35.13,140.3,71.01,21.92
54,Llanes,0,ES,1585980565,97,43.42,-4.75,42.01,4.38
55,Kapustin Yar,0,RU,1585980569,44,48.58,45.74,51.71,6.8
56,Hambantota,75,LK,1585980571,74,6.12,81.12,87.8,6.93
57,Albany,90,US,1585980302,100,42.6,-73.97,46.99,4.7
58,Nísia Floresta,40,BR,1585980575,94,-6.09,-35.21,78.8,3.36
59,Yellowknife,5,CA,1585980301,70,62.46,-114.35,-4,9.17
60,Cape Town,9,ZA,1585980448,100,-33.93,18.42,64.99,6.93
61,Athabasca,76,CA,1585980582,87,54.72,-113.29,5.54,4.59
62,Ambunti,23,PG,1585980584,55,-4.24,142.84,91.67,4.68
63,Carnarvon,71,AU,1585980586,51,-24.87,113.63,82.4,17.22
64,South Patrick Shores,1,US,1585980588,77,28.2,-80.61,66.99,4.34
65,Castro,0,BR,1585980552,64,-24.79,-50.01,47.52,3.02
66,Codrington,83,AU,1585980567,64,-38.27,141.97,53.73,27.98
67,Ilulissat,0,GL,1585980366,60,69.22,-51.1,5,16.11
68,Sofrino,0,RU,1585980597,48,56.15,37.97,43,11.18
69,Saint Paul Harbor,75,US,1585980599,52,57.79,-152.41,44.6,9.17
70,Provideniya,100,RU,1585980601,95,64.38,-173.3,23.29,18.75
71,Reisterstown,90,US,1585980603,70,39.47,-76.83,52,8.05
72,Sindor,100,RU,1585980605,91,62.86,51.89,34.48,12.68
73,Kirakira,97,SB,1585980607,76,-10.45,161.92,83.59,13.11
74,Narsaq,75,GL,1585980519,29,60.92,-46.05,24.8,17.22
